TeamHome,TeamAway,ResultTeamHome,ResultTeamAway,Bet1,BetX,Bet2
West Ham,Norwich,2,0,1.89,4.04,3.92
Southampton,Manchester Utd,1,1,4.22,3.52,1.97
Tottenham,Newcastle,0,1,1.29,6.19,11.20
Wolves,Burnley,1,1,1.79,3.52,5.29
Bournemouth,Manchester City,1,3,16.81,8.39,1.18
Liverpool,Arsenal,3,1,1.49,5.04,6.44
Brighton,Southampton,0,2,2.36,3.32,3.27
Manchester Utd,Crystal Palace,1,2,1.35,5.40,9.56
Sheffield Utd,Leicester,1,2,3.35,3.33,2.32
Watford,West Ham,1,3,2.21,3.57,3.34
Norwich,Chelsea,2,3,4.28,3.93,1.85
Aston Villa,Everton,2,0,3.09,3.43,2.40
Wolves,Manchester Utd,1,1,3.11,3.34,2.45
Chelsea,Leicester,1,1,1.72,3.90,5.21
Sheffield Utd,Crystal Palace,1,0,2.54,3.25,3.03
Manchester City,Tottenham,2,2,1.38,5.52,8.13
Aston Villa,Bournemouth,1,2,2.26,3.67,3.16
Brighton,West Ham,1,1,2.21,3.45,3.46
Everton,Watford,1,0,1.82,3.78,4.59
Norwich,Newcastle,3,1,2.14,3.47,3.63
Southampton,Liverpool,1,2,6.71,4.59,1.51
Arsenal,Burnley,2,1,1.36,5.33,9.18
Manchester Utd,Chelsea,4,0,2.02,3.45,4.18
Leicester,Wolves,0,0,2.38,3.21,3.43
Newcastle,Arsenal,0,1,3.54,3.57,2.17
Tottenham,Aston Villa,3,1,1.37,5.47,9.12
Bournemouth,Sheffield Utd,1,1,2.00,3.63,4.03
Burnley,Southampton,3,0,2.69,3.25,2.91
Crystal Palace,Everton,0,0,3.45,3.37,2.29
Watford,Brighton,0,3,2.08,3.35,4.12
West Ham,Manchester City,0,5,12.25,6.75,1.26
Liverpool,Norwich,4,1,1.14,9.95,21.17
Brighton,Manchester City,1,4,15.88,8.12,1.18
Burnley,Arsenal,1,3,2.58,3.66,2.70
Crystal Palace,Bournemouth,5,3,1.76,4.34,4.28
Fulham,Newcastle,0,4,2.46,3.57,2.91
Leicester,Chelsea,0,0,2.44,3.66,2.90
Liverpool,Wolves,2,0,1.30,5.90,10.26
Manchester Utd,Cardiff,0,2,1.30,6.11,9.79
Southampton,Huddersfield,1,1,1.39,5.05,8.43
Tottenham,Everton,2,2,1.90,3.75,4.23
Watford,West Ham,1,4,2.08,3.81,3.47
Manchester City,Leicester,1,0,1.17,9.04,14.50
Arsenal,Brighton,1,1,1.28,5.91,11.75
Chelsea,Watford,3,0,1.30,5.85,10.52
Huddersfield,Manchester Utd,1,1,9.63,5.65,1.32
Newcastle,Liverpool,2,3,9.54,5.49,1.33
Cardiff,Crystal Palace,2,3,2.57,3.72,2.66
West Ham,Southampton,3,0,2.31,3.60,3.10
Wolves,Fulham,1,0,1.48,4.37,7.52
Bournemouth,Tottenham,1,0,5.90,4.63,1.54
