TeamHome,TeamAway,ResultTeamHome,ResultTeamAway,Bet1,BetX,Bet2
FK Krylya Sovetov Samara,Lokomotiv Moscow,1,2,4.30,3.34,1.97
Ural,FK Rostov,2,2,2.94,3.17,2.59
Rubin Kazan,Akhmat Grozny,1,0,2.82,2.92,2.91
CSKA Moscow,Lokomotiv Moscow,1,0,2.21,3.32,3.50
Arsenal Tula,FK Rostov,2,3,3.06,3.09,2.54
Orenburg,Zenit,0,2,5.74,3.70,1.68
Krasnodar,Sochi,3,0,1.39,5.06,8.18
Tambov,Spartak Moscow,2,0,4.93,3.52,1.80
Ufa,FK Krylya Sovetov Samara,2,1,2.41,3.06,3.29
Dynamo Moscow,Ural,2,0,1.76,3.66,4.97
Sochi,Zenit,0,2,5.30,3.84,1.71
Dynamo Moscow,Rubin Kazan,0,1,1.79,3.34,5.62
Lokomotiv Moscow,Tambov,2,1,1.35,4.88,11.39
Ural,Akhmat Grozny,3,0,2.79,3.09,2.82
FK Rostov,Spartak Moscow,2,2,2.54,3.09,3.15
CSKA Moscow,Orenburg,2,1,1.41,4.41,10.07
FK Krylya Sovetov Samara,Arsenal Tula,2,3,2.32,3.09,3.48
Ufa,Krasnodar,2,3,4.79,3.39,1.88
Lokomotiv Moscow,Rubin Kazan,1,1,1.57,3.83,7.22
Akhmat Grozny,Krasnodar,1,0,3.70,3.30,2.17
Zenit,Tambov,2,1,1.18,7.82,15.69
FK Krylya Sovetov Samara,CSKA Moscow,2,0,5.16,3.49,1.80
FK Rostov,Orenburg,2,1,2.08,3.12,4.24
Spartak Moscow,Sochi,1,0,1.40,4.86,8.50
Ural,Ufa,3,2,2.18,3.10,3.88
Arsenal Tula,Dynamo Moscow,1,1,3.49,3.03,2.37
FK Krylya Sovetov Samara,Nizhny Novgorod,0,1,1.63,3.84,6.36
Tomsk,Ufa,1,0,3.71,2.87,2.40
Nizhny Novgorod,FK Krylya Sovetov Samara,1,3,3.50,2.91,2.43
Ufa,Tomsk,2,0,1.42,4.13,9.88
Akhmat Grozny,FK Rostov,1,0,2.29,3.16,3.47
FK Anzi Makhackala,Ural,0,2,4.99,3.85,1.73
CSKA Moscow,FK Krylya Sovetov Samara,6,0,1.26,5.83,12.69
Dynamo Moscow,Arsenal Tula,3,3,1.80,3.61,4.79
Krasnodar,Rubin Kazan,1,0,1.28,5.64,11.50
Lokomotiv Moscow,Ufa,1,0,1.26,5.73,13.63
Orenburg,Spartak Moscow,2,0,3.61,3.53,2.10
Zenit,Yenisey,4,1,1.16,8.19,17.31
Rubin Kazan,FK Anzi Makhackala,0,0,1.25,6.02,12.25
FK Rostov,Zenit,1,0,2.71,3.29,2.75
Arsenal Tula,Krasnodar,0,3,3.96,3.44,2.02
Yenisey,Dynamo Moscow,2,2,5.63,3.63,1.71
Ural,Lokomotiv Moscow,2,2,8.12,4.37,1.45
FK Krylya Sovetov Samara,Spartak Moscow,1,2,3.58,3.23,2.23
CSKA Moscow,Akhmat Grozny,1,0,1.43,4.65,7.88
Ufa,Orenburg,0,2,1.67,3.71,5.70
Zenit,CSKA Moscow,3,1,2.19,3.31,3.57
Spartak Moscow,Ufa,1,0,1.85,3.40,4.83
Akhmat Grozny,FK Krylya Sovetov Samara,2,1,2.29,3.15,3.45
Yenisey,Krasnodar,0,4,8.46,4.50,1.42
Lokomotiv Moscow,Rubin Kazan,4,0,1.56,3.71,7.59
FK Anzi Makhackala,Arsenal Tula,0,1,9.12,4.44,1.40
Dynamo Moscow,FK Rostov,0,0,1.88,3.22,4.98
Orenburg,Ural,2,2,2.41,2.88,3.56
FK Rostov,Krasnodar,1,1,3.49,3.28,2.21
CSKA Moscow,Dynamo Moscow,2,2,1.78,3.48,5.10
FK Krylya Sovetov Samara,Ufa,1,1,2.54,2.96,3.20
Arsenal Tula,Lokomotiv Moscow,2,0,3.73,3.28,2.13
Akhmat Grozny,Zenit,1,1,4.25,3.24,2.00
Ural,Spartak Moscow,0,1,3.08,3.23,2.45
Rubin Kazan,Orenburg,2,0,2.17,2.98,4.02
Yenisey,FK Anzi Makhackala,3,1,1.58,3.97,6.25
Spartak Moscow,Rubin Kazan,1,1,1.74,3.42,5.74
Orenburg,Arsenal Tula,1,1,2.86,3.03,2.75
Krasnodar,CSKA Moscow,2,0,2.68,3.18,2.84
Zenit,FK Krylya Sovetov Samara,4,2,1.33,5.04,10.16
Lokomotiv Moscow,Yenisey,2,1,1.30,5.33,11.13
Ufa,Ural,4,1,2.67,3.24,2.77
Dynamo Moscow,Akhmat Grozny,0,0,1.82,3.31,5.18
FK Anzi Makhackala,FK Rostov,1,1,8.91,4.38,1.42
Arsenal Tula,Spartak Moscow,3,0,2.93,3.22,2.56
FK Krylya Sovetov Samara,Ural,0,1,2.25,3.05,3.70
Yenisey,Orenburg,2,1,3.81,3.08,2.19
Zenit,Dynamo Moscow,2,0,1.57,3.91,6.38
CSKA Moscow,FK Anzi Makhackala,2,0,1.08,12.69,26.25
Rubin Kazan,Ufa,1,1,2.35,2.83,3.76
Akhmat Grozny,Krasnodar,1,1,3.96,3.35,2.04
FK Rostov,Lokomotiv Moscow,1,2,3.43,2.86,2.49
Spartak Moscow,Yenisey,2,0,1.30,5.34,11.04
Ural,Rubin Kazan,2,1,2.58,2.84,3.30
Krasnodar,Zenit,2,3,2.43,3.22,3.14
Lokomotiv Moscow,CSKA Moscow,1,1,2.82,3.03,2.81
Dynamo Moscow,FK Krylya Sovetov Samara,1,0,1.77,3.43,5.32
