Time,TeamHome,ResultTeamHome,ResultTeamAway,TeamAway,Date
14:30,Augsburg,2,3,Borussia M.Gladbach,Feb 29 2020
14:30,Borussia Dortmund,1,0,Freiburg,Feb 29 2020
14:30,Hoffenheim,0,6,Bayern Munich,Feb 29 2020
17:30,FC Koln,3,0,Schalke 04,Feb 29 2020
19:30,Schalke 04,2,0,Borussia M.Gladbach,Jan 17 2020
14:30,Augsburg,3,5,Borussia Dortmund,Jan 18 2020
14:30,FC Koln,3,1,Wolfsburg,Jan 18 2020
14:30,Hoffenheim,1,2,Eintracht Frankfurt,Jan 18 2020
14:30,Fortuna Duesseldorf,0,1,Werder Bremen,Jan 18 2020
14:30,Mainz 05,1,2,Freiburg,Jan 18 2020
17:30,RasenBallsport Leipzig,3,1,Union Berlin,Jan 18 2020
14:30,Hertha Berlin,0,4,Bayern Munich,Jan 19 2020
17:00,Paderborn,1,4,Bayer Leverkusen,Jan 19 2020
19:30,Borussia Dortmund,5,1,FC Koln,Jan 24 2020
14:30,Freiburg,0,2,Paderborn,Jan 25 2020
14:30,Union Berlin,2,0,Augsburg,Jan 25 2020
14:30,Borussia M.Gladbach,3,1,Mainz 05,Jan 25 2020
14:30,Wolfsburg,1,2,Hertha Berlin,Jan 25 2020
14:30,Eintracht Frankfurt,2,0,RasenBallsport Leipzig,Jan 25 2020
17:30,Bayern Munich,5,0,Schalke 04,Jan 25 2020
14:30,Werder Bremen,0,3,Hoffenheim,Jan 26 2020
17:00,Bayer Leverkusen,3,0,Fortuna Duesseldorf,Jan 26 2020
19:30,Hertha Berlin,0,0,Schalke 04,Jan 31 2020
14:30,Borussia M.Gladbach,4,2,Freiburg,Des 1 2019
17:00,Wolfsburg,2,3,Werder Bremen,Des 1 2019
19:30,Mainz 05,2,1,Eintracht Frankfurt,Des 2 2019
19:30,Eintracht Frankfurt,2,2,Hertha Berlin,Des 6 2019
14:30,Freiburg,1,0,Wolfsburg,Des 7 2019
14:30,Augsburg,2,1,Mainz 05,Des 7 2019
14:30,Borussia M.Gladbach,2,1,Bayern Munich,Des 7 2019
14:30,Borussia Dortmund,5,0,Fortuna Duesseldorf,Des 7 2019
14:30,RasenBallsport Leipzig,3,1,Hoffenheim,Des 7 2019
17:30,Bayer Leverkusen,2,1,Schalke 04,Des 7 2019
14:30,Union Berlin,2,0,FC Koln,Des 8 2019
17:00,Werder Bremen,0,1,Paderborn,Des 8 2019
19:30,Hoffenheim,2,4,Augsburg,Des 13 2019
14:30,FC Koln,2,0,Bayer Leverkusen,Des 14 2019
14:30,Paderborn,1,1,Union Berlin,Des 14 2019
14:30,Bayern Munich,6,1,Werder Bremen,Des 14 2019
14:30,Hertha Berlin,1,0,Freiburg,Des 14 2019
14:30,Mainz 05,0,4,Borussia Dortmund,Des 14 2019
17:30,Fortuna Duesseldorf,0,3,RasenBallsport Leipzig,Des 14 2019
14:30,Wolfsburg,2,1,Borussia M.Gladbach,Des 15 2019
17:00,Schalke 04,1,0,Eintracht Frankfurt,Des 15 2019
17:30,Werder Bremen,0,5,Mainz 05,Des 17 2019
19:30,Augsburg,3,0,Fortuna Duesseldorf,Des 17 2019
19:30,Union Berlin,0,2,Hoffenheim,Des 17 2019
19:30,Borussia Dortmund,3,3,RasenBallsport Leipzig,Des 17 2019
17:30,Bayer Leverkusen,0,1,Hertha Berlin,Des 18 2019
19:30,Borussia M.Gladbach,2,0,Paderborn,Des 18 2019
19:30,Wolfsburg,1,1,Schalke 04,Des 18 2019
19:30,Eintracht Frankfurt,2,4,FC Koln,Des 18 2019
19:30,Freiburg,1,3,Bayern Munich,Des 18 2019
19:30,Hoffenheim,2,1,Borussia Dortmund,Des 20 2019
14:30,Mainz 05,0,1,Bayer Leverkusen,Des 21 2019
14:30,Schalke 04,2,2,Freiburg,Des 21 2019
14:30,FC Koln,1,0,Werder Bremen,Des 21 2019
14:30,Bayern Munich,2,0,Wolfsburg,Des 21 2019
14:30,RasenBallsport Leipzig,3,1,Augsburg,Des 21 2019
17:30,Hertha Berlin,0,0,Borussia M.Gladbach,Des 21 2019
14:30,Fortuna Duesseldorf,2,1,Union Berlin,Des 22 2019
17:00,Paderborn,2,1,Eintracht Frankfurt,Des 22 2019
19:30,Hoffenheim,3,0,Paderborn,Nov 1 2019
14:30,Eintracht Frankfurt,5,1,Bayern Munich,Nov 2 2019
14:30,Werder Bremen,2,2,Freiburg,Nov 2 2019
14:30,Borussia Dortmund,3,0,Wolfsburg,Nov 2 2019
14:30,RasenBallsport Leipzig,8,0,Mainz 05,Nov 2 2019
14:30,Bayer Leverkusen,1,2,Borussia M.Gladbach,Nov 2 2019
17:30,Union Berlin,1,0,Hertha Berlin,Nov 2 2019
14:30,Fortuna Duesseldorf,2,0,FC Koln,Nov 3 2019
17:00,Augsburg,2,3,Schalke 04,Nov 3 2019
19:30,FC Koln,1,2,Hoffenheim,Nov 8 2019
14:30,Paderborn,0,1,Augsburg,Nov 9 2019
14:30,Hertha Berlin,2,4,RasenBallsport Leipzig,Nov 9 2019
14:30,Mainz 05,2,3,Union Berlin,Nov 9 2019
14:30,Schalke 04,3,3,Fortuna Duesseldorf,Nov 9 2019
17:30,Bayern Munich,4,0,Borussia Dortmund,Nov 9 2019
12:30,Borussia M.Gladbach,3,1,Werder Bremen,Nov 10 2019
14:30,Wolfsburg,0,2,Bayer Leverkusen,Nov 10 2019
17:00,Freiburg,1,0,Eintracht Frankfurt,Nov 10 2019
19:30,Borussia Dortmund,3,3,Paderborn,Nov 22 2019
14:30,Eintracht Frankfurt,0,2,Wolfsburg,Nov 23 2019
14:30,Bayer Leverkusen,1,1,Freiburg,Nov 23 2019
14:30,Fortuna Duesseldorf,0,4,Bayern Munich,Nov 23 2019
14:30,Werder Bremen,1,2,Schalke 04,Nov 23 2019
14:30,Union Berlin,2,0,Borussia M.Gladbach,Nov 23 2019
17:30,RasenBallsport Leipzig,4,1,FC Koln,Nov 23 2019
14:30,Augsburg,4,0,Hertha Berlin,Nov 24 2019
17:00,Hoffenheim,1,5,Mainz 05,Nov 24 2019
19:30,Schalke 04,2,1,Union Berlin,Nov 29 2019
14:30,FC Koln,1,1,Augsburg,Nov 30 2019
14:30,Paderborn,2,3,RasenBallsport Leipzig,Nov 30 2019
14:30,Hertha Berlin,1,2,Borussia Dortmund,Nov 30 2019
14:30,Hoffenheim,1,1,Fortuna Duesseldorf,Nov 30 2019
17:30,Bayern Munich,1,2,Bayer Leverkusen,Nov 30 2019
19:30,Hertha Berlin,3,1,Fortuna Duesseldorf,Okt 4 2019
14:30,Freiburg,2,2,Borussia Dortmund,Okt 5 2019
14:30,Paderborn,1,2,Mainz 05,Okt 5 2019
14:30,Bayern Munich,1,2,Hoffenheim,Okt 5 2019
14:30,Bayer Leverkusen,1,1,RasenBallsport Leipzig,Okt 5 2019
17:30,Schalke 04,1,1,FC Koln,Okt 5 2019
12:30,Borussia M.Gladbach,5,1,Augsburg,Okt 6 2019
