Time,TeamHome,ResultTeamHome,ResultTeamAway,TeamAway,Date
20:15,Feirense,0,1,Vitoria de Setubal,Apr 1 2019
20:30,FC Porto,2,0,Boavista,Apr 5 2019
15:30,Nacional,0,0,Aves,Apr 6 2019
15:30,Belenenses SAD,1,1,Santa Clara,Apr 6 2019
18:00,Vitoria de Guimaraes,4,0,Chaves,Apr 6 2019
20:30,Moreirense,1,0,Braga,Apr 6 2019
15:00,Vitoria de Setubal,1,0,Maritimo,Apr 7 2019
17:30,Feirense,1,4,Benfica,Apr 7 2019
20:00,Sporting CP,3,0,Rio Ave,Apr 7 2019
20:15,Tondela,3,2,Portimonense,Apr 8 2019
20:30,Chaves,2,2,Belenenses SAD,Apr 12 2019
15:30,Santa Clara,1,1,Moreirense,Apr 13 2019
18:00,Portimonense,0,3,FC Porto,Apr 13 2019
20:30,Aves,1,3,Sporting CP,Apr 13 2019
15:00,Maritimo,2,0,Feirense,Apr 14 2019
15:00,Rio Ave,2,1,Vitoria de Guimaraes,Apr 14 2019
17:30,Braga,3,0,Tondela,Apr 14 2019
17:30,Boavista,1,0,Nacional,Apr 14 2019
20:00,Benfica,4,2,Vitoria de Setubal,Apr 14 2019
15:30,Tondela,1,0,Boavista,Apr 19 2019
15:30,Vitoria de Setubal,1,1,Portimonense,Apr 19 2019
18:00,Nacional,0,1,Sporting CP,Apr 19 2019
20:30,Vitoria de Guimaraes,0,2,Aves,Apr 19 2019
15:30,Belenenses SAD,1,3,Rio Ave,Apr 20 2019
15:30,Moreirense,0,1,Chaves,Apr 20 2019
18:00,Feirense,0,2,Braga,Apr 20 2019
20:30,FC Porto,1,0,Santa Clara,Apr 20 2019
20:15,Benfica,6,0,Maritimo,Apr 22 2019
20:30,Rio Ave,2,2,FC Porto,Apr 26 2019
15:30,Santa Clara,0,0,Vitoria de Setubal,Apr 27 2019
15:30,Portimonense,1,0,Feirense,Apr 27 2019
18:00,Sporting CP,2,0,Vitoria de Guimaraes,Apr 27 2019
20:30,Aves,3,0,Belenenses SAD,Apr 27 2019
15:00,Maritimo,2,0,Tondela,Apr 28 2019
15:00,Chaves,4,1,Nacional,Apr 28 2019
17:30,Braga,1,4,Benfica,Apr 28 2019
20:00,Boavista,3,1,Moreirense,Apr 28 2019
20:30,Aves,2,0,Boavista,Mac 1 2019
15:30,Nacional,3,2,Tondela,Mac 2 2019
18:00,Moreirense,1,1,Vitoria de Setubal,Mac 2 2019
20:30,FC Porto,1,2,Benfica,Mac 2 2019
15:00,Chaves,0,0,Santa Clara,Mac 3 2019
15:00,Belenenses SAD,4,0,Feirense,Mac 3 2019
17:30,Rio Ave,1,2,Braga,Mac 3 2019
20:00,Sporting CP,3,1,Portimonense,Mac 3 2019
20:15,Vitoria de Guimaraes,1,0,Maritimo,Mac 4 2019
20:30,Chaves,1,1,Rio Ave,Mac 8 2019
15:30,Maritimo,3,2,Moreirense,Mac 9 2019
18:00,Braga,1,0,Vitoria de Guimaraes,Mac 9 2019
20:30,Boavista,1,2,Sporting CP,Mac 9 2019
15:00,Portimonense,5,1,Nacional,Mac 10 2019
15:00,Santa Clara,0,0,Aves,Mac 10 2019
17:30,Vitoria de Setubal,0,0,Tondela,Mac 10 2019
20:00,Feirense,1,2,FC Porto,Mac 10 2019
20:15,Benfica,2,2,Belenenses SAD,Mac 11 2019
20:30,Sporting CP,1,0,Santa Clara,Mac 15 2019
15:30,Vitoria de Setubal,0,1,Braga,Mac 16 2019
15:30,Belenenses SAD,2,2,Portimonense,Mac 16 2019
18:00,Vitoria de Guimaraes,3,1,Boavista,Mac 16 2019
20:30,FC Porto,3,0,Maritimo,Mac 16 2019
15:00,Aves,0,1,Chaves,Mac 17 2019
15:00,Nacional,0,1,Rio Ave,Mac 17 2019
17:30,Moreirense,0,4,Benfica,Mac 17 2019
20:00,Tondela,1,1,Feirense,Mac 17 2019
20:30,Portimonense,0,2,Moreirense,Mac 29 2019
15:30,Braga,2,3,FC Porto,Mac 30 2019
18:00,Chaves,1,3,Sporting CP,Mac 30 2019
20:30,Benfica,1,0,Tondela,Mac 30 2019
20:30,Santa Clara,1,0,Vitoria de Guimaraes,Mac 30 2019
15:00,Maritimo,3,2,Nacional,Mac 31 2019
17:30,Rio Ave,0,2,Aves,Mac 31 2019
20:00,Boavista,2,0,Belenenses SAD,Mac 31 2019
20:30,Rio Ave,2,2,Tondela,Feb 1 2019
15:30,Chaves,1,0,Maritimo,Feb 2 2019
18:00,Boavista,2,0,Feirense,Feb 2 2019
20:30,Aves,0,2,Braga,Feb 2 2019
15:00,Santa Clara,2,1,Portimonense,Feb 3 2019
15:00,Nacional,0,0,Vitoria de Setubal,Feb 3 2019
17:30,Sporting CP,2,4,Benfica,Feb 3 2019
20:00,Vitoria de Guimaraes,0,0,FC Porto,Feb 3 2019
20:15,Belenenses SAD,0,1,Moreirense,Feb 4 2019
20:30,Moreirense,1,1,FC Porto,Feb 8 2019
15:30,Maritimo,0,1,Aves,Feb 9 2019
18:00,Portimonense,0,1,Rio Ave,Feb 9 2019
20:30,Tondela,1,0,Vitoria de Guimaraes,Feb 9 2019
15:00,Boavista,1,0,Santa Clara,Feb 10 2019
15:00,Braga,2,1,Chaves,Feb 10 2019
17:30,Benfica,10,0,Nacional,Feb 10 2019
20:00,Feirense,1,3,Sporting CP,Feb 10 2019
20:15,Vitoria de Setubal,0,0,Belenenses SAD,Feb 11 2019
20:30,Rio Ave,1,2,Santa Clara,Feb 15 2019
15:30,Nacional,4,0,Feirense,Feb 16 2019
18:00,Vitoria de Guimaraes,2,0,Portimonense,Feb 16 2019
20:30,FC Porto,2,0,Vitoria de Setubal,Feb 16 2019
15:00,Moreirense,2,0,Tondela,Feb 17 2019
15:00,Belenenses SAD,0,1,Maritimo,Feb 17 2019
17:30,Chaves,1,1,Boavista,Feb 17 2019
20:00,Sporting CP,3,0,Braga,Feb 17 2019
20:15,Aves,0,3,Benfica,Feb 18 2019
19:00,Braga,0,2,Belenenses SAD,Feb 22 2019
21:15,Tondela,0,3,FC Porto,Feb 22 2019
15:30,Feirense,1,3,Moreirense,Feb 23 2019
18:00,Portimonense,1,1,Aves,Feb 23 2019
20:30,Vitoria de Setubal,1,1,Vitoria de Guimaraes,Feb 23 2019
15:30,Santa Clara,2,0,Nacional,Feb 24 2019
17:30,Boavista,1,0,Rio Ave,Feb 24 2019
19:00,Maritimo,0,0,Sporting CP,Feb 25 2019
21:15,Benfica,4,0,Chaves,Feb 25 2019
16:00,Santa Clara,1,2,Tondela,Jan 2 2019
18:00,Boavista,1,0,Vitoria de Setubal,Jan 2 2019
18:00,Braga,2,0,Maritimo,Jan 2 2019
18:00,Nacional,1,0,Vitoria de Guimaraes,Jan 2 2019
20:15,Rio Ave,1,2,Moreirense,Jan 2 2019
20:15,Portimonense,2,0,Benfica,Jan 2 2019
16:00,Chaves,0,0,Feirense,Jan 3 2019
18:00,Sporting CP,2,1,Belenenses SAD,Jan 3 2019
20:15,Aves,0,1,FC Porto,Jan 3 2019
20:30,Maritimo,2,1,Portimonense,Jan 5 2019
15:00,Belenenses SAD,1,0,Vitoria de Guimaraes,Jan 6 2019
15:00,Vitoria de Setubal,0,0,Chaves,Jan 6 2019
15:00,Feirense,2,2,Santa Clara,Jan 6 2019
17:30,Benfica,4,2,Rio Ave,Jan 6 2019
20:00,Braga,1,0,Boavista,Jan 6 2019
17:00,Moreirense,1,0,Aves,Jan 7 2019
19:00,Tondela,2,1,Sporting CP,Jan 7 2019
21:15,FC Porto,3,1,Nacional,Jan 7 2019
20:15,Portimonense,1,1,Braga,Jan 10 2019
19:00,Santa Clara,0,2,Benfica,Jan 11 2019
19:00,Aves,1,1,Feirense,Jan 11 2019
21:15,Vitoria de Guimaraes,1,0,Moreirense,Jan 11 2019
15:30,Sporting CP,0,0,FC Porto,Jan 12 2019
20:30,Boavista,0,1,Maritimo,Jan 12 2019
15:00,Nacional,0,1,Belenenses SAD,Jan 13 2019
17:30,Chaves,2,1,Tondela,Jan 13 2019
20:00,Rio Ave,1,1,Vitoria de Setubal,Jan 13 2019
18:45,Nacional,0,3,Braga,Jan 18 2019
19:00,Chaves,1,4,FC Porto,Jan 18 2019
21:15,Vitoria de Guimaraes,0,1,Benfica,Jan 18 2019
15:30,Belenenses SAD,2,2,Tondela,Jan 19 2019
18:00,Sporting CP,2,1,Moreirense,Jan 19 2019
20:30,Santa Clara,0,1,Maritimo,Jan 19 2019
15:00,Aves,2,1,Vitoria de Setubal,Jan 20 2019
17:30,Boavista,0,2,Portimonense,Jan 20 2019
20:00,Rio Ave,0,0,Feirense,Jan 20 2019
17:00,Maritimo,0,2,Rio Ave,Jan 28 2019
19:00,Moreirense,2,1,Nacional,Jan 28 2019
19:00,Tondela,0,2,Aves,Jan 28 2019
21:15,Feirense,1,2,Vitoria de Guimaraes,Jan 28 2019
19:00,Portimonense,0,1,Chaves,Jan 29 2019
19:00,Benfica,5,1,Boavista,Jan 29 2019
21:15,Braga,1,0,Santa Clara,Jan 29 2019
19:00,Vitoria de Setubal,1,1,Sporting CP,Jan 30 2019
21:15,FC Porto,3,0,Belenenses SAD,Jan 30 2019
15:30,Maritimo,0,1,Vitoria de Setubal,Des 1 2018
18:00,Benfica,4,0,Feirense,Des 1 2018
20:30,Braga,2,0,Moreirense,Des 1 2018
15:00,Aves,2,3,Nacional,Des 2 2018
15:00,Portimonense,3,2,Tondela,Des 2 2018
17:30,Chaves,0,1,Vitoria de Guimaraes,Des 2 2018
20:00,Boavista,0,1,FC Porto,Des 2 2018
20:15,Rio Ave,1,3,Sporting CP,Des 3 2018
20:30,FC Porto,4,1,Portimonense,Des 7 2018
15:30,Belenenses SAD,1,0,Chaves,Des 8 2018
18:00,Tondela,0,1,Braga,Des 8 2018
20:30,Vitoria de Setubal,0,1,Benfica,Des 8 2018
15:00,Nacional,0,0,Boavista,Des 9 2018
15:00,Moreirense,0,1,Santa Clara,Des 9 2018
17:30,Vitoria de Guimaraes,3,2,Rio Ave,Des 9 2018
20:00,Sporting CP,4,1,Aves,Des 9 2018
20:15,Feirense,1,1,Maritimo,Des 10 2018
19:00,Portimonense,3,1,Vitoria de Setubal,Des 14 2018
21:15,Braga,4,0,Feirense,Des 14 2018
15:30,Chaves,1,2,Moreirense,Des 15 2018
15:30,Boavista,2,0,Tondela,Des 15 2018
18:00,Aves,1,1,Vitoria de Guimaraes,Des 15 2018
20:30,Santa Clara,1,2,FC Porto,Des 15 2018
15:00,Rio Ave,2,2,Belenenses SAD,Des 16 2018
17:30,Maritimo,0,1,Benfica,Des 16 2018
20:00,Sporting CP,5,2,Nacional,Des 16 2018
15:30,Feirense,0,1,Portimonense,Des 22 2018
