Name,Meta_data,Apps,Mins,Goals,Assists,Yel_card,Red_card,ShotsPerGame,PassSuccess,AerialWonPerGame,ManOfTheMatch,Rating
Gastón Ramírez,"Sampdoria, 29, AM(CLR)",12(3),894,5,1,5,-,1.7,79,1.5,2,7.09
Michail Antonio,"West Ham, 30, D(R),M(CLR),FW",10(5),1031,2,2,1,-,2.3,66.5,3.5,-,7.09
João Moutinho,"Wolverhampton Wanderers, 33, M(C)",27(2),2436,1,6,5,-,0.7,84.6,0.5,1,7.09
Dwight McNeil,"Burnley, 20, M(L)",29,2535,2,5,4,-,1.2,78.1,0.7,2,7.09
James Ward-Prowse,"Southampton, 25, M(CR)",29,2610,4,3,7,-,1.3,78,2.2,1,7.09
Mikel Oyarzabal,"Real Sociedad, 22, AM(CLR),FW",25(1),2162,8,6,3,-,1.9,76.8,1.2,3,7.08
Jonjo Shelvey,"Newcastle United, 28, M(C)",16(1),1343,5,-,2,-,1.8,75,0.6,1,7.08
Yuri,"Athletic Bilbao, 30, D(L),M(L)",24,2160,2,1,4,-,1.2,81.8,1.8,1,7.08
Nordi Mukiele,"RasenBallsport Leipzig, 22, D(CR),M(R)",15(3),1241,3,1,-,-,1,77.2,1.8,2,7.08
Axel Witsel,"Borussia Dortmund, 31, M(C)",20(1),1808,4,4,2,-,1.3,94.1,0.9,-,7.08
Kingsley Coman,"Bayern Munich, 23, AM(LR),FW",11(4),996,2,1,1,-,1.5,83.8,0.4,-,7.08
Fabien Centonze,"Metz, 24, D(R)",28,2520,-,3,3,-,0.3,75.2,1.4,3,7.08
Christian Pulisic,"Chelsea, 21, M(CLR)",12(4),1076,5,2,-,-,2.5,80.2,0.9,3,7.08
Lucas Deaux,"Nimes, 31, D(C),DMC",15(2),1338,2,1,2,-,0.9,76.6,4.2,1,7.07
Erick Pulgar,"Fiorentina, 26, DMC",23(2),2085,4,3,7,-,0.9,86.6,1,2,7.07
Felipe Anderson,"West Ham, 26, M(CLR),FW",19(3),1419,1,4,1,-,1,78.6,0.3,1,7.07
Dejan Kulusevski,"Parma Calcio 1913, 19, AM(R)",22(1),1908,5,7,2,-,1.5,79.2,0.5,3,7.07
Thomas Partey,"Atletico Madrid, 26, D(R),M(CR)",21(3),1841,2,-,10,-,0.8,83.1,1.8,3,7.07
Jordan Amavi,"Marseille, 26, D(L),M(L)",24(2),2164,1,1,9,-,0.6,79,2.4,2,7.07
Valentin Rongier,"Marseille, 25, M(C)",20(3),1793,-,2,3,-,1.6,86.6,1.1,-,7.07
Angelo Fulgini,"Angers, 23, AM(CR)",19(1),1585,1,1,1,1,1.8,80.7,1.1,3,7.06
Juan Cuadrado,"Juventus, 31, D(R),M(CLR),FW",19(4),1839,1,2,4,1,0.7,89.4,0.3,-,7.06
Wylan Cyprien,"Nice, 25, M(C)",20,1774,7,3,1,1,2.9,87.6,0.8,2,7.06
Fabián Ruiz,"Napoli, 24, M(CL)",21(1),1900,2,2,2,-,2.4,90.5,0.4,1,7.06
