Name,Meta_data,Apps,Mins,Goals,Assists,Yel_card,Red_card,ShotsPerGame,PassSuccess,AerialWonPerGame,ManOfTheMatch,Rating
Remo Freuler,"Atalanta, 27, DMC",17(3),1451,2,2,2,-,0.6,88.7,0.4,-,6.84
Jonathan Calleri,"Espanyol, 26, FW",15(4),1362,1,3,2,-,1.9,53.5,5.3,-,6.84
Jean-Paul Boëtius,"Mainz 05, 26, AM(CL)",20(1),1786,3,5,2,-,1.2,74,0.6,-,6.84
Samir Handanovic,"Inter, 35, GK",22,1980,-,-,-,-,-,83.7,0.1,1,6.84
Jonny,"Wolverhampton Wanderers, 26, D(CLR),M(L)",25(1),2197,1,1,4,-,0.6,80.7,1.3,1,6.84
Leonardo Bonucci,"Juventus, 32, D(C)",25,2224,3,-,5,-,0.7,87.6,1.9,-,6.84
Abdoul Kader Bamba,"Nantes, 25, AM(LR)",16(11),1469,1,3,5,-,0.7,81.2,0.4,2,6.84
Takehiro Tomiyasu,"Bologna, 21, D(CR)",20,1794,-,2,5,-,0.8,81.7,2.1,1,6.84
Kévin Rodrigues,"Leganes, 26, D(L),M(L)",15(3),1361,1,2,2,1,0.7,73.5,0.8,2,6.84
Gianluigi Donnarumma,"AC Milan, 21, GK",24,2122,-,-,3,-,-,70.5,0.3,1,6.84
Martin Dubravka,"Newcastle United, 31, GK",29,2610,-,-,-,-,-,51.3,0.3,1,6.84
Koray Günter,"Verona, 25, D(C)",21(1),1858,-,-,6,-,0.2,85.4,2.8,1,6.84
Matthias Ginter,"Borussia M.Gladbach, 26, D(CR),DMC",22,1971,1,-,2,-,0.6,84,3,-,6.83
Florent Mollet,"Montpellier, 28, AM(CL)",19(6),1688,6,3,5,-,1.8,85.5,0.5,2,6.83
Davy Pröpper,"Brighton, 28, M(C)",26,2340,1,2,4,-,1,85,0.8,1,6.83
Shane Duffy,"Brighton, 28, D(C)",11(4),1071,1,-,1,-,0.4,80.2,4.3,1,6.83
Ken Sema,"Udinese, 26, M(CLR)",21(1),1730,2,-,4,-,0.5,76.2,0.5,-,6.83
Darko Lazovic,"Verona, 29, M(LR)",25,2200,1,4,4,-,1,76.1,0.5,1,6.83
Ángel Correa,"Atletico Madrid, 25, AM(LR),FW",16(6),1493,5,6,5,-,1.7,76.6,0.4,1,6.83
Jeff Reine-Adélaïde,"Lyon, 22, AM(CR),FW",11(3),790,2,1,3,-,0.3,87.3,0.4,-,6.83
Fabinho,"Liverpool, 26, D(R),DMC",15(5),1445,1,1,5,-,0.4,85.4,1.6,-,6.83
Imran Louza,"Nantes, 20, M(C)",22(2),2012,2,2,4,-,1.5,80.7,1,1,6.83
Maxime Gonalons,"Granada, 31, D(C),M(C)",16(2),1450,-,-,6,-,0.3,81.3,1.9,-,6.83
Ismaila Sarr,"Watford, 22, AM(LR),FW",13(6),1227,5,3,1,-,1.9,81.2,0.6,2,6.83
Aurelien Tchouameni,"Bordeaux, 20, DMC",13(2),1113,-,1,3,-,0.8,85,1.3,-,6.83
Piotr Zielinski,"Napoli, 25, AM(CL)",23(3),2153,2,3,4,-,2.2,87.5,0.5,-,6.83
Thomas Foket,"Reims, 25, D(R),M(R)",27,2430,-,1,3,-,0.3,78.8,0.9,1,6.83
Romain Saïss,"Wolverhampton Wanderers, 30, D(C),DMC",23(2),1986,2,1,8,1,0.8,78.3,3.4,-,6.83
Adam Webster,"Brighton, 25, D(C)",23,2016,3,1,3,-,0.6,83.8,3.8,-,6.83
Marko Rog,"Cagliari, 24, DMC",17(2),1463,1,-,6,-,1,87.8,0.8,-,6.83
Nicola Sansone,"Bologna, 28, AM(LR),FW",20(2),1676,4,3,5,-,2.9,78.4,0.3,-,6.83
Juan Musso,"Udinese, 25, GK",26,2340,-,-,-,-,-,69.2,0.1,1,6.82
Oliver McBurnie,"Sheffield United, 23, AM(CL),FW",15(11),1437,4,-,3,-,1.5,61,5.3,2,6.82
Portu,"Real Sociedad, 27, AM(CLR),FW",19(5),1780,7,8,5,-,1.2,72.1,0.6,3,6.82
David García,"Osasuna, 26, D(C)",22(1),1982,-,-,4,-,0.6,72,4.7,2,6.82
Nathan Aké,"Bournemouth, 25, D(CL),DMC",23,2015,2,1,1,-,1,88.1,2.1,-,6.82
Néstor Araújo,"Celta Vigo, 28, D(C)",24(1),2175,1,1,8,-,0.4,84.3,2.8,-,6.82
Thomas Mangani,"Angers, 32, M(C)",21(3),1875,2,2,-,-,1.3,83.4,1.2,1,6.82
Sergio Canales,"Real Betis, 29, AM(CLR)",26,2294,4,4,4,-,1.3,87.7,0.1,2,6.82
John Brooks,"Wolfsburg, 27, D(C)",16,1440,-,1,3,-,0.6,79.1,3,-,6.82
Benjamin Bourigeaud,"Rennes, 26, M(CLR)",21(4),1904,2,2,5,-,1.7,79.6,0.6,-,6.82
Nadiem Amiri,"Bayer Leverkusen, 23, AM(CL)",16(6),1410,1,2,1,-,1.6,84.4,0.3,1,6.82
James Tomkins,"Crystal Palace, 31, D(CR)",18,1584,1,1,5,-,0.5,79.4,3.3,1,6.82
David McGoldrick,"Sheffield United, 32, AM(CLR),FW",16(5),1361,-,2,2,-,1.7,73.3,3,-,6.82
Vicente Guaita,"Crystal Palace, 33, GK",27,2430,-,-,1,-,-,49.3,0.6,2,6.82
Jasmin Kurtic,"SPAL 2013, 31, M(CL)",16,1411,2,-,5,-,2.9,80.2,1.9,1,6.82
Dominique Heintz,"Freiburg, 26, D(CL)",20(1),1804,-,1,2,-,0.2,81.5,1.3,1,6.82
Pierre-Emile Højbjerg,"Southampton, 24, M(C)",27(1),2447,-,1,5,-,1.5,77.2,1.8,1,6.82
Lucas Pérez,"Deportivo Alaves, 31, AM(CR),FW",21(5),1941,11,5,3,-,1.5,71,0.3,2,6.82
Ihlas Bebou,"Hoffenheim, 25, AM(CLR),FW",16(7),1620,3,-,-,-,1,68.5,2,1,6.82
Marash Kumbulla,"Verona, 20, D(C)",18,1461,1,-,4,1,0.5,84.2,2.7,-,6.82
Jonathan Bamba,"Lille, 24, AM(CLR),FW",22(4),1942,1,4,1,-,1.8,82.8,0.3,-,6.82
Benjamin Mendy,"Manchester City, 25, D(L),DMC,M(L)",13(1),1117,-,2,2,-,0.4,88.3,0.7,-,6.82
Sokratis,"Arsenal, 31, D(CR)",19,1697,2,-,6,-,0.4,87.9,3.1,-,6.82
Diego Perotti,"Roma, 31, M(CLR),FW",8(6),719,3,1,1,-,0.9,86.6,0.1,1,6.82
Ashley Westwood,"Burnley, 30, DMC",26,2340,2,5,9,-,0.5,77.5,0.5,1,6.82
Jesús Navas,"Sevilla, 34, D(R),M(R)",27,2429,-,4,4,-,0.3,79.9,0.4,1,6.82
Jérôme Roussillon,"Wolfsburg, 27, D(L),M(L)",20(1),1767,1,1,1,-,0.9,72.6,0.6,-,6.81
Kasper Schmeichel,"Leicester, 33, GK",29,2610,-,-,2,-,-,75.2,0.2,-,6.81
Arnaud Souquet,"Montpellier, 28, D(CR),M(R)",22(2),2015,2,-,6,-,0.6,75.9,1.4,2,6.81
Abdoulaye Touré,"Nantes, 26, DMC",24(3),2220,3,-,3,-,1.3,84.3,1.5,2,6.81
George Baldock,"Sheffield United, 27, D(R),M(R)",28,2520,2,3,6,-,0.3,75.2,1,-,6.81
Vladimír Darida,"Hertha Berlin, 29, M(C),FW",17(3),1596,3,3,5,1,1.6,76.9,0.7,3,6.81
Jaime Mata,"Getafe, 31, FW",23(1),1954,8,3,10,-,1.7,64.5,3,1,6.81
Aleix Vidal,"Deportivo Alaves, 30, D(R),M(LR)",23(2),1997,2,4,6,-,0.8,77.8,0.5,-,6.81
Luiz Felipe,"Lazio, 23, D(C)",18(1),1468,1,1,5,-,0.3,88.4,0.8,-,6.81
Youssef En-Nesyri,"Leganes, 22, FW",15(3),1385,4,2,2,-,2.2,57.3,4,-,6.81
Thibaut Courtois,"Real Madrid, 27, GK",24,2160,-,-,-,-,-,73.8,0.2,-,6.81
Hiroki Sakai,"Marseille, 29, D(LR),M(R)",19(2),1622,-,-,3,-,0.1,84.2,1.6,-,6.81
Timothy Castagne,"Atalanta, 24, D(R),M(LR)",11(3),1004,1,1,3,-,1,84.9,1.3,-,6.81
Dodi Lukébakio,"Hertha Berlin, 22, AM(R),FW",16(6),1462,5,5,-,-,1.4,80.1,0.5,-,6.80
Lukás Hrádecky,"Bayer Leverkusen, 30, GK",25,2250,-,-,1,-,-,73.2,0.4,1,6.80
Kyle Walker,"Manchester City, 29, D(CR),M(R)",21,1810,1,2,4,-,0.6,88.9,1.1,-,6.80
Davide Biraschi,"Genoa, 25, D(CR)",14(1),1305,-,-,1,1,0.4,78.9,2.2,-,6.80
Kenny McLean,"Norwich, 28, M(C)",25(3),2289,1,1,4,-,0.9,78.6,3,-,6.80
Christian Gentner,"Union Berlin, 34, M(CLR)",23(1),1929,1,1,4,-,1.2,72.8,1.3,-,6.80
Gary Cahill,"Crystal Palace, 34, D(C)",20,1800,-,1,1,-,0.8,85.6,3.9,-,6.80
Wesley Fofana,"Saint-Etienne, 19, D(C)",13(1),1215,1,-,4,-,0.5,81.8,4.5,-,6.80
Xaver Schlager,"Wolfsburg, 22, AM(C)",13(2),1048,1,2,2,-,1.4,74.7,1.1,-,6.80
Stefano Okaka,"Udinese, 30, FW",20(2),1735,5,2,8,-,2,77.5,2.4,-,6.80
Aridane Hernández,"Osasuna, 31, D(C)",21,1890,3,-,5,-,0.5,79.4,3.2,-,6.80
Karol Linetty,"Sampdoria, 25, M(C)",12(5),1177,2,3,4,-,1.1,78.4,0.5,1,6.80
Duje Caleta-Car,"Marseille, 23, D(C)",20(3),1884,1,1,6,-,0.7,86.7,2.4,1,6.80
Antonio Candreva,"Inter, 33, M(CLR)",16(4),1342,2,5,5,-,1.3,83.5,0.1,1,6.80
Ruslan Malinovskiy,"Atalanta, 26, M(C)",6(16),963,4,-,4,1,2.1,82.1,0.5,-,6.80
Mário Rui,"Napoli, 28, D(L),M(L)",13(2),1206,-,1,6,-,0.8,82.7,0.7,-,6.80
Moi Gómez,"Villarreal, 25, M(CLR)",21(5),1772,4,3,1,-,1.2,83.2,0.5,1,6.80
Dani Rodríguez,"Mallorca, 31, AM(LR)",26(1),2202,5,1,4,-,1.4,82.3,0.9,2,6.80
Nacho Vidal,"Osasuna, 25, D(R)",18(1),1557,-,-,5,-,0.6,71.2,1.6,1,6.80
Kalifa Coulibaly,"Nantes, 28, FW",18(3),1616,4,-,1,-,2.3,55.7,4.9,-,6.80
Benjamin Hübner,"Hoffenheim, 30, D(C)",18,1585,1,3,4,-,1.1,86.1,2.6,-,6.80
Manolo Gabbiadini,"Sampdoria, 28, AM(CLR),FW",17(4),1422,6,1,2,-,2.9,68.1,1.1,-,6.79
Julien Faussurier,"Brest, 33, D(LR),M(R)",22,1980,2,3,1,-,0.5,71.9,0.8,-,6.79
Nélson Semedo,"Barcelona, 26, D(R)",16(5),1386,-,2,1,-,0.2,88.4,0.4,-,6.79
Robin Koch,"Freiburg, 23, D(C),DMC",24,2098,1,-,2,-,1,84.9,3.7,-,6.79
Dani Ceballos,"Arsenal, 23, M(CL)",10(4),912,-,2,-,-,0.7,88.9,0.3,1,6.79
Mattia Zaccagni,"Verona, 24, AM(C),FW",20(3),1571,1,4,5,-,0.9,75.2,1,3,6.79
Granit Xhaka,"Arsenal, 27, M(C)",22,1908,-,1,7,-,0.4,88.1,1.5,-,6.79
Nemanja Maksimovic,"Getafe, 25, DMC",24(1),2114,2,-,5,-,0.9,69.8,2.4,2,6.79
Léo Dubois,"Lyon, 25, D(LR),M(R)",15(1),1339,-,-,3,-,0.3,82.7,1.3,-,6.79
Lukasz Piszczek,"Borussia Dortmund, 34, D(CR),M(R)",16(4),1367,1,3,1,-,0.3,87.5,0.9,1,6.79
Robert Snodgrass,"West Ham, 32, AM(CLR)",17(7),1513,5,5,4,-,0.9,77.8,0.6,1,6.79
Keven Schlotterbeck,"Union Berlin, 22, D(C)",15,1222,-,-,4,1,0.6,77.5,2.5,1,6.79
Robert Andrich,"Union Berlin, 25, M(C)",24,2146,-,2,9,-,1.7,71,1.7,1,6.79
Sergi Roberto,"Barcelona, 28, D(R),M(CR)",20(2),1741,1,2,7,-,0.2,91.2,1.2,-,6.79
Robin Zentner,"Mainz 05, 25, GK",22,1936,-,-,1,-,-,57.2,0.7,4,6.79
Toby Alderweireld,"Tottenham, 31, D(CR)",27,2418,1,2,4,-,0.4,82.2,2.2,-,6.79
Ainsley Maitland-Niles,"Arsenal, 22, D(LR),M(CLR)",14,1211,-,2,3,1,0.2,81.9,1.1,1,6.79
Carlos Fernández,"Granada, 23, AM(C),FW",13(10),1392,5,3,6,-,1.1,60.9,3,2,6.79
Steve Cook,"Bournemouth, 28, D(C)",22,1850,1,-,4,1,0.4,80.2,3.9,1,6.79
Patrick van Aanholt,"Crystal Palace, 29, D(L),M(L)",22,1894,3,-,-,-,1,81.2,0.7,2,6.79
Filip Djuricic,"Sassuolo, 28, AM(CLR),FW",11(7),930,4,3,4,-,1.1,81.1,0.6,1,6.79
Breel Embolo,"Borussia M.Gladbach, 23, AM(CR),FW",12(10),1129,7,3,4,-,1.5,75.6,0.8,2,6.79
Nicolò Barella,"Inter, 23, AM(C)",16(4),1419,1,3,8,-,0.8,83.6,0.9,1,6.79
Remi Oudin,"Reims, 23, AM(CR)",16(2),1403,3,2,1,-,2,68.4,1,-,6.79
Giovanni Simeone,"Cagliari, 24, AM(R),FW",22(2),1847,6,3,4,-,2.3,68.1,1.5,1,6.78
Layvin Kurzawa,"Paris Saint-Germain, 27, D(L),M(L)",9(5),856,1,-,4,-,0.4,90.8,1.2,-,6.78
Abdoulaye Doucouré,"Watford, 27, M(C)",28,2450,4,2,8,-,1.8,79.5,1.5,1,6.78
Cristiano Biraghi,"Inter, 27, D(L),M(L)",13(3),1132,-,3,-,-,0.2,79,0.3,-,6.78
Rodrigo Moreno,"Valencia, 29, M(CLR),FW",17(4),1375,2,7,2,1,1.4,76.6,1,-,6.78
Wesley Lautoa,"Dijon, 32, D(C),DMC",21(2),1872,-,1,3,-,0.4,86.4,1.3,-,6.78
Kalidou Koulibaly,"Napoli, 28, D(C)",14(1),1218,-,-,3,1,0.7,89.3,2.3,-,6.78
Manu Trigueros,"Villarreal, 28, M(C)",14(6),1210,1,4,4,-,1,88.4,0.5,-,6.78
Isaac Hayden,"Newcastle United, 25, DMC",23(1),1969,1,1,4,1,0.7,78.1,1.8,-,6.78
Moussa Djenepo,"Southampton, 21, AM(LR)",10(8),926,2,2,4,1,1.1,74.1,0.2,3,6.78
Stefano Sabelli,"Brescia, 27, D(R),M(R)",26,2340,-,2,3,-,0.4,70.7,1.1,1,6.78
Nathan Redmond,"Southampton, 26, AM(CLR),FW",23,1961,3,1,2,-,1.8,71.1,0.6,2,6.78
Unai López,"Athletic Bilbao, 24, M(CR)",16(1),1154,1,3,6,-,1.1,86.6,1,-,6.78
Rúben Vezo,"Levante, 25, D(CR)",19,1710,1,-,4,-,0.5,79.6,3.1,-,6.78
Sofyan Amrabat,"Verona, 23, DMC",22(1),1953,-,-,8,1,0.7,86.5,0.7,-,6.78
Gabriel,"Lecce, 27, GK",22,1918,-,-,2,-,-,70.3,0.5,2,6.78
Nicolás Otamendi,"Manchester City, 32, D(C)",15(4),1414,2,-,3,-,0.7,92.4,2.4,-,6.77
Aaron Ramsdale,"Bournemouth, 21, GK",28,2520,-,1,-,-,-,53.9,0.3,1,6.77
Ryan Fredericks,"West Ham, 27, D(R),M(R)",19(1),1688,-,2,5,-,-,73.9,1.4,1,6.77
Sergio Asenjo,"Villarreal, 30, GK",24,2160,-,-,1,-,-,68.6,0.2,1,6.77
Ibrahim Sangaré,"Toulouse, 22, DMC",25,2177,-,1,8,-,0.9,78.7,1.8,1,6.77
Grant Hanley,"Norwich, 28, D(C)",14(1),1262,-,-,4,-,0.5,82.8,2.9,-,6.77
Armando Izzo,"Torino, 28, D(C)",23,2043,1,-,4,2,0.4,78.2,2.7,-,6.77
Nacho Monreal,"Real Sociedad, 34, D(CL),M(L)",20,1756,2,-,1,-,0.7,82.8,1.8,1,6.77
Iñaki Williams,"Athletic Bilbao, 25, AM(CLR),FW",25(2),2204,6,-,2,-,1.3,75.3,1.7,1,6.77
Rodrigo Ely,"Deportivo Alaves, 26, D(C)",18,1586,1,-,7,-,0.2,76.7,3.4,-,6.77
Ozan Kabak,"Schalke 04, 20, D(C)",14(5),1190,3,1,1,-,0.5,83,2.6,1,6.77
Romain Hamouma,"Saint-Etienne, 33, M(CLR),FW",9(5),867,6,1,1,1,1.4,76.7,1.1,-,6.77
Jason Denayer,"Lyon, 24, D(CR),DMC",24(1),2133,-,1,-,-,0.2,94,1.6,-,6.77
Stefan Lainer,"Borussia M.Gladbach, 27, D(R),M(R)",22,1904,1,3,6,-,0.6,70.9,1.2,-,6.77
Christian Günter,"Freiburg, 27, D(L),M(L)",25,2238,2,5,2,-,1.2,72.4,0.3,-,6.77
Christian Benteke,"Crystal Palace, 29, FW",9(11),921,1,1,4,-,1.5,52.4,5.2,-,6.77
Joris Gnagnon,"Rennes, 23, D(C)",14(5),1275,-,1,2,-,0.5,90,2.8,-,6.77
Yoann Court,"Brest, 30, AM(LR)",18(5),1474,3,7,6,-,1.5,75.3,0.5,1,6.77
Mohammed Salisu,"Real Valladolid, 20, D(C)",26(1),2366,1,1,2,-,0.2,80.5,2.5,1,6.77
Sam Byram,"Norwich, 26, D(LR),M(R)",15(2),1294,-,-,4,-,0.9,77.8,2.5,-,6.77
Gervinho,"Parma Calcio 1913, 32, M(LR),FW",18(1),1487,5,3,3,-,2.3,80.1,-,-,6.77
John Lundstram,"Sheffield United, 26, DMC",23(4),2069,4,3,4,-,1.4,83,0.7,1,6.77
Max-Alain Gradel,"Toulouse, 32, M(LR),FW",19(2),1642,3,2,4,-,1.9,70.2,1,2,6.77
Aaron Mooy,"Brighton, 29, M(CLR)",20(2),1659,2,1,-,1,1.4,81.5,0.5,3,6.77
Leon Bailey,"Bayer Leverkusen, 22, M(LR)",7(7),692,5,1,-,2,1.6,69.8,0.6,1,6.77
Jules Koundé,"Sevilla, 21, D(C)",15(4),1407,1,1,3,-,0.7,84.6,2.6,-,6.76
Pablo Martinez,"Nimes, 31, D(CL)",26,2340,2,1,3,1,0.5,77.7,2.1,1,6.76
Rúben Neves,"Wolverhampton Wanderers, 23, DMC",26(3),2281,2,1,7,-,1.6,78.8,0.8,-,6.76
Jeremiah St. Juste,"Mainz 05, 23, D(CR),DMC",17(1),1502,2,1,6,-,0.4,85.9,2.1,-,6.76
Dennis Appiah,"Nantes, 27, D(LR)",18(1),1606,-,-,2,-,0.1,76.6,1,-,6.76
Tanguy Ndombele,"Tottenham, 23, DMC",12(7),947,2,2,2,-,0.5,85.6,0.3,1,6.76
Fran Gámez,"Mallorca, 28, D(LR)",13(1),1229,-,1,2,-,0.7,73.8,0.6,1,6.76
Stefan Savic,"Atletico Madrid, 29, D(C)",14,1260,-,-,3,-,0.1,79.6,2.9,2,6.76
Emil Forsberg,"RasenBallsport Leipzig, 28, AM(CLR)",12(6),946,5,2,-,-,1.1,80,0.5,1,6.76
Mauro Arambarri,"Getafe, 24, DMC",24(1),2184,1,1,7,1,1.2,69.6,1.8,-,6.76
Josip Brekalo,"Wolfsburg, 21, AM(CLR)",12(9),1109,3,4,-,-,1.2,74.3,0.3,-,6.76
Geoffrey Kondogbia,"Valencia, 27, DMC",14(3),1217,1,-,5,-,0.7,82.4,1.8,-,6.76
Nacho,"Real Valladolid, 31, D(LR),M(L)",14,1178,-,2,2,-,0.4,70.8,0.6,-,6.76
Wesley,"Aston Villa, 23, FW",21,1790,5,1,3,-,1.7,71.8,3.3,1,6.76
Rafael Czichos,"FC Koln, 29, D(C)",20,1704,1,1,1,1,0.6,83,2.8,-,6.76
Oscar Wendt,"Borussia M.Gladbach, 34, D(L),M(L)",16(1),1427,2,2,3,-,0.5,78.6,0.8,-,6.76
Cédric Soares,"Southampton, 28, D(R),M(R)",16,1310,-,1,1,-,0.6,68.8,1.1,1,6.76
Pascal Groß,"Brighton, 28, M(CR),FW",18(5),1494,2,4,2,-,1.2,79.6,0.7,-,6.76
Florian Grillitsch,"Hoffenheim, 24, DMC,M(L)",21(2),1838,-,3,1,-,0.7,87.8,1.1,1,6.76
Mattia Bani,"Bologna, 26, D(C)",22,1872,4,-,11,1,0.6,81,3.7,1,6.76
Shane Long,"Southampton, 33, AM(R),FW",13(6),1142,2,2,-,-,1.6,53.6,5.1,-,6.76
Arturo Vidal,"Barcelona, 32, M(C)",8(14),923,6,2,3,-,0.6,87.4,0.6,-,6.76
Gabriel Paulista,"Valencia, 29, D(CR)",23(1),2086,1,-,5,-,0.3,88.7,2.5,-,6.76
Matías Vecino,"Inter, 28, M(C)",14(4),1259,2,2,4,-,1.4,79.1,0.8,2,6.76
Lasse Schöne,"Genoa, 33, M(CLR)",21(1),1723,1,2,4,-,1.1,88.2,0.9,1,6.76
Jhonder Cádiz,"Dijon, 24, FW",7(10),793,2,2,3,-,1.8,60.6,2.7,-,6.75
Allan,"Napoli, 29, DMC",14(2),1094,1,1,3,-,0.6,87.6,0.4,1,6.75
Alisson,"Liverpool, 27, GK",20,1735,-,1,-,1,-,84.2,0.2,-,6.75
Luke Shaw,"Manchester United, 24, D(CL),M(L)",14(4),1265,-,-,5,-,0.5,87,1.2,-,6.75
Bram Nuytinck,"Udinese, 29, D(C)",16,1410,-,-,2,-,0.4,83.2,1.6,-,6.75
Emerson,"Chelsea, 25, D(L),M(L)",13(1),1024,-,-,3,-,0.9,85.2,1.1,1,6.75
Nikola Milenkovic,"Fiorentina, 22, D(CR)",25,2250,3,-,5,-,0.9,86.9,2.4,-,6.75
Damien Le Tallec,"Montpellier, 29, D(C),DMC",28,2462,2,-,3,-,0.5,80.2,2.4,-,6.75
Óscar Rodríguez,"Leganes, 21, AM(CR)",20(6),1676,7,2,4,1,1.9,72.6,0.8,3,6.75
Mattia Valoti,"SPAL 2013, 26, AM(CL)",14(7),1250,2,-,6,-,1.3,79.6,1.6,1,6.75
Enes Ünal,"Real Valladolid, 22, FW",17(7),1711,4,2,2,-,1.8,65,3.9,2,6.75
Lucas Alario,"Bayer Leverkusen, 27, FW",9(9),908,6,1,3,-,2.1,72.9,2.2,2,6.75
Pavel Kaderábek,"Hoffenheim, 27, D(R),M(R)",21(1),1818,2,3,2,-,1.1,69.8,2.7,1,6.75
Simone Missiroli,"SPAL 2013, 33, M(C)",24(1),2135,1,-,7,-,0.4,83.2,2,-,6.75
Dean Henderson,"Sheffield United, 23, GK",27,2430,-,-,2,-,-,35.3,0.5,1,6.75
Sada Thioub,"Angers, 24, AM(R)",15(8),1508,1,2,3,-,0.6,82.9,0.4,2,6.75
Javairô Dilrosun,"Hertha Berlin, 21, AM(L)",14(4),1159,3,2,2,-,0.9,74.3,0.2,1,6.75
Luka Milivojevic,"Crystal Palace, 29, DMC",22(1),1986,2,1,9,-,1,81.5,1.2,2,6.75
Chris Wood,"Burnley, 28, FW",25(1),2069,11,1,1,-,2,62.4,3.9,1,6.75
Lucas Vázquez,"Real Madrid, 28, M(R)",6(8),640,2,1,1,-,0.6,82.4,0.1,-,6.74
Nemanja Radoja,"Levante, 27, DMC",16(1),1420,1,-,2,-,0.1,85.8,2.1,-,6.74
Kevin N'Doram,"Metz, 24, DMC",19(1),1646,-,-,2,-,0.5,88.7,1.5,1,6.74
Renan Lodi,"Atletico Madrid, 22, D(L)",20(3),1672,1,2,3,1,0.6,80.4,1,1,6.74
Rayan Ait Nouri,"Angers, 18, D(L)",16(1),1286,-,2,3,-,0.2,78.2,1.1,-,6.74
Bruno Alves,"Parma Calcio 1913, 38, D(C)",20(1),1806,-,-,2,-,0.8,82.2,3.2,-,6.74
Felipe Caicedo,"Lazio, 31, FW",11(10),869,8,2,4,-,1.2,75.1,0.6,-,6.74
Boulaye Dia,"Reims, 23, FW",21(3),1818,7,1,-,-,1.6,74.1,1.2,1,6.74
Matteo Guendouzi,"Arsenal, 20, DMC",17(5),1591,-,1,6,-,0.5,88.2,0.6,-,6.74
Davinson Sánchez,"Tottenham, 23, D(C)",21(1),1891,-,-,5,-,0.2,85.3,2.1,-,6.74
Lucas Olaza,"Celta Vigo, 25, D(L)",25,2248,1,3,4,-,0.6,79,0.8,-,6.74
John Boye,"Metz, 32, D(C)",24,2116,2,-,6,-,0.3,85.5,2,-,6.74
Rafal Gikiewicz,"Union Berlin, 32, GK",25,2250,-,-,-,-,0.1,62.9,0.3,2,6.74
Tim Krul,"Norwich, 32, GK",27,2430,-,-,4,-,-,61.6,0.6,3,6.74
Hamza Mendyl,"Dijon, 22, D(L),M(L)",16(2),1442,1,1,7,1,0.6,79.5,0.2,-,6.74
Germán Pezzella,"Fiorentina, 28, D(C)",23,1977,2,-,9,-,0.9,82.8,2.8,1,6.74
Didier Ndong,"Dijon, 25, DMC",27,2389,-,2,5,-,0.7,89,0.7,-,6.73
Daniel Brosinski,"Mainz 05, 31, D(LR),M(LR)",13(7),1339,2,3,3,-,0.9,68.8,0.7,-,6.73
Mason Holgate,"Everton, 23, D(CR),M(R)",19(3),1762,-,3,4,-,0.5,83.1,1.8,1,6.73
Guillermo Maripán,"Monaco, 25, D(C)",20,1755,2,-,2,-,0.6,88,2,1,6.73
Jordi Alba,"Barcelona, 31, D(L),M(L)",16(1),1377,1,1,4,-,0.2,88.3,0.3,-,6.73
Alex Oxlade Chamberlain,"Liverpool, 26, M(CLR)",13(8),1110,3,-,1,-,1.5,83.1,0.5,1,6.73
Renato Steffen,"Wolfsburg, 28, M(LR)",11(8),971,4,1,4,-,1,76.3,0.8,1,6.73
Loic Perrin,"Saint-Etienne, 34, D(C)",20(1),1715,-,-,5,-,0.2,87.6,2.9,-,6.73
Mehmet Zeki Çelik,"Lille, 23, D(R)",23,2070,-,2,4,-,0.2,79.4,1,-,6.73
Danilo,"Nice, 24, D(C),DMC",12(4),1120,-,-,4,-,0.3,91.7,1.2,-,6.73
Daniel James,"Manchester United, 22, AM(LR),FW",25(2),2175,3,6,3,-,1.4,78,0.3,1,6.73
Martin Braithwaite,"Leganes, 28, AM(CLR),FW",21(3),1936,6,2,3,-,1.8,68.1,2.1,1,6.73
Mickaël Alphonse,"Dijon, 30, D(R)",15(2),1377,-,1,2,-,0.4,70.3,2.1,-,6.73
Joelinton,"Newcastle United, 23, AM(R),FW",27(2),2237,1,2,6,-,1.4,77,5.2,-,6.73
Hans Hateboer,"Atalanta, 26, D(R),M(R)",17(4),1588,-,3,7,-,0.6,84.7,1,-,6.73
Yacine Adli,"Bordeaux, 19, AM(C)",11(10),1017,3,3,3,-,0.8,83.1,0.5,2,6.73
Kamil Glik,"Monaco, 32, D(C)",23,2070,1,-,5,-,0.5,88.2,2.7,-,6.73
Pablo Sarabia,"Paris Saint-Germain, 27, D(L),M(CLR),FW",13(8),1165,4,3,1,-,1.6,82.7,0.1,-,6.73
Daniel Wass,"Valencia, 30, D(LR),M(CLR)",24(1),2167,1,6,5,-,0.6,80.7,1.8,-,6.73
Cheikhou Kouyaté,"Crystal Palace, 30, D(CR),DMC",23(4),1993,1,1,2,-,0.9,74.1,2.7,-,6.73
Jonas Hofmann,"Borussia M.Gladbach, 27, AM(CLR)",10(5),910,2,1,2,-,0.7,80.1,0.2,-,6.73
Jaume Costa,"Valencia, 32, D(LR),M(L)",11(3),962,-,-,2,-,0.1,82,1,-,6.72
Alex McCarthy,"Southampton, 30, GK",19,1710,-,-,-,-,-,47,0.6,1,6.72
Matthijs de Ligt,"Juventus, 20, D(C)",17(3),1650,2,-,4,-,0.6,89.9,2.9,-,6.72
Arturo Calabresi,"Amiens, 24, D(CR)",21,1879,1,1,5,-,0.3,72.5,1.5,1,6.72
